Track ID,Name,Artist,Genre,Total Time,Location,Play Count,Column1,Column2,Column3
1996,夢 (장희빈 O.S.T),이수영,,269,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/4.%20%E5%A4%A2%20(%EC%9D%B4%EC%88%98%EC%98%81).mp3,0,,,
65,Star Wars Princess Leia's Theme,,,267,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Star%20Wars%20Princess%20Leia's%20Theme.mp3,0,,,
156,Experts (Original Mix),Skism,Dubstep,267,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Skism%20Dubstep/Skism%20-%20Experts%20(Original%20Mix)%20[mp3clan.com].mp3,0,,,
1293,Stop Smokin That Shit (Instrimental),KMD,Hip-Hop/Rap,267,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Burn%20Notice/Stop%20Smokin%20That%20Shit%20(Instrimental)%20-%20KMD%20-%20It%20Sounded%20Like%20a%20Roc%20%20Stop%20Smokin'%20That%20Shit.mp3,0,,,
95,Final Fantasy VII 'Deliverance of the Heart' OC ReMix,"Jillian Aversa, zircon",Game,266,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Zircon%20Music/Final_Fantasy_7_Deliverance_of_the_Heart_OC_ReMix.mp3,0,,,
883,Chowdown,Corduroy,Jazz,265,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Grooveshark%20Tracks/preview.mp3,0,,,
1401,nan arayo [mp3clan.com],seo taiji,,265,file://localhost/C:/Users/theplaineric/Desktop/GsD%20Videos/seo%20taiji%20-%20nan%20arayo%20[mp3clan.com].mp3,0,,,
4108,The Dreaming City,"Rotem Moav, Skye Lewin, Michael Salvatori",Soundtrack,265,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Destiny%20Forsaken/Destiny_2_Forsaken_Original_Soundtrack_and_Whisper_of_the_Worm_Bonus/Destiny%202%20Forsaken%20Original%20Soundtrack/MP3/Destiny%202%20Forsaken%20Original%20Soundtrack%20-%20Disc%201/1-11%20The%20Dreaming%20City.mp3,0,,,
149,Back to the Earth,Two Steps From Hell,Classical,264,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Skyworld/21%20Back%20to%20the%20Earth.mp3,0,,,
1084,Jambox,,,264,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/GRiZ/Floozies/Do%20Your%20Thing/Jambox.wav,0,,,
826,EDM Death Machine,Knife Party,Other,263,file://localhost/C:/Users/theplaineric/Desktop/My%20Music%20Files/Knife%20Party/Knife_Party-EDM_Death_Machine_Haunted_House_2013_.mp3,0,,,
